Time,acc
3.03,0.356165128
3.035,-0.12780223
3.04,-0.135042242
3.045,0.121876227
3.05,0.057454214
3.055,0.17752427
3.06,0.025625335
3.065,0.157810301
3.07,0.351496183
3.075,0.0675271
3.08,0.022504502
3.085,-0.046898928
3.09,0.090176002
3.095,-0.166959154
3.1,-0.021028887
3.105,-0.150246444
3.11,0.132639009
3.115,0.046026719
3.12,-0.019873955
3.125,-0.01292615
3.13,0.103305215
3.135,-0.320383739
3.14,0.115619655
3.145,-0.519947843
3.15,0.065007497
3.155,-0.268582165
3.16,-0.078525455
3.165,-0.004658518
3.17,0.034121772
3.175,-0.141218629
3.18,0.307207192
3.185,-0.393492689
3.19,0.254933374
3.195,-0.415758291
3.2,0.094157528
3.205,-0.104284604
3.21,0.009079974
3.215,-0.058489177
3.22,0.338918906
3.225,0.001280593
3.23,0.360232743
3.235,-0.166502261
3.24,0.307953841
3.245,-0.040118983
3.25,0.089905871
3.255,-0.232318617
3.26,0.242767866
3.265,0.069548379
3.27,0.172085165
3.275,0.032481641
3.28,0.191447523
3.285,0.237036338
3.29,0.085739962
3.295,-0.318534897
3.3,0.154743299
3.305,-0.142715108
3.31,-0.044538368
3.315,-0.178529544
3.32,-0.163681454
3.325,0.361800028
3.33,-0.108938886
3.335,-0.169087632
3.34,0.065939577
3.345,-0.115017192
3.35,-0.001599249
3.355,-0.425277406
3.36,-0.294734148
3.365,0.199776619
3.37,-0.222513602
3.375,-0.089780749
3.38,-0.042427001
3.385,0.174234044
3.39,0.188041823
3.395,-0.260661598
3.4,-0.092190392
3.405,0.111671448
3.41,0.001941328
3.415,-0.22649349
3.42,-0.04153535
3.425,0.222910642
3.43,0.284858526
3.435,0.024439326
3.44,0.056445095
3.445,0.269874981
3.45,0.324906008
3.455,-0.305679272
3.46,0.107702347
3.465,-0.089478545
3.47,0.305174378
3.475,-0.090523287
3.48,-0.072940242
3.485,0.295633254
3.49,0.33242568
3.495,-0.193816512
3.5,0.180549505
3.505,-0.312960859
3.51,0.357056061
3.515,-0.418091746
3.52,-0.216749791
3.525,-0.029756171
3.53,0.092376535
3.535,-0.140300602
3.54,0.033744617
3.545,-0.216562503
3.55,0.363717184
3.555,-0.368691016
3.56,-0.135705854
3.565,-0.261596904
3.57,0.0198507
3.575,-0.229037993
3.58,-0.098868331
3.585,-0.092513224
3.59,0.2380004
3.595,0.039251548
3.6,-0.011405784
3.605,-0.007396357
3.61,0.162317551
3.615,-0.159579828
3.62,0.020603307
3.625,-0.133108185
3.63,0.107732106
3.635,0.229749942
3.64,-0.07231833
3.645,0.355480802
3.65,0.143017603
3.655,0.13740637
3.66,0.19154412
3.665,-0.130246473
3.67,0.091628614
3.675,0.034381083
3.68,-0.189630533
3.685,0.280650002
3.69,-0.143386282
3.695,0.233897814
3.7,0.103624963
3.705,0.009321919
3.71,0.069559218
3.715,-0.12857815
3.72,-0.14548635
3.725,-0.036094496
3.73,-0.31124162
3.735,-0.082289393
3.74,-0.084956102
3.745,0.034139716
3.75,-0.046897451
3.755,-0.057645291
3.76,-0.012231812
3.765,-0.024051585
3.77,-0.123167971
3.775,-0.36917941
3.78,0.017568293
3.785,-0.126972053
3.79,-0.058971659
3.795,-0.04693106
3.8,0.033615916
3.805,0.279853892
3.81,0.129073726
3.815,-0.246568318
3.82,0.330924193
3.825,-0.157249793
3.83,0.173316854
3.835,-0.238561311
3.84,0.022216962
3.845,0.351091973
3.85,0.126279155
3.855,-0.041772476
3.86,0.371941612
3.865,0.059437477
3.87,0.370904026
3.875,-0.340836176
3.88,0.025325506
3.885,0.123236221
3.89,-0.006351701
3.895,-0.186119
3.9,0.037091277
3.905,0.173611662
3.91,0.226510866
3.915,-0.193948374
3.92,-0.070049625
3.925,0.063401606
3.93,-0.016100553
3.935,-0.41983509
3.94,-0.228431337
3.945,0.005641092
3.95,-0.043655303
3.955,-0.049528373
3.96,-0.312611105
3.965,0.312384545
3.97,0.043673489
3.975,-0.244741178
3.98,-0.155880195
3.985,-0.088053674
3.99,-0.007552195
3.995,-0.060387014
4,-0.453880202
4.005,0.459478159
4.01,0.016845738
4.015,0.165669474
4.02,-0.023385614
4.025,0.127602551
4.03,0.263457548
4.035,-0.020537643
4.04,-0.30794765
4.045,0.28215964
4.05,-0.017285386
4.055,0.224398254
4.06,-0.095780665
4.065,0.264992501
4.07,0.31161944
4.075,0.142303521
4.08,-0.115109915
4.085,0.073268731
4.09,0.057452183
4.095,-0.090242267
4.1,-0.179676367
4.105,-0.03377538
4.11,0.074282866
4.115,0.142263961
4.12,-0.165167274
4.125,0.059962788
4.13,0.110439839
4.135,-0.23818931
4.14,-0.036191577
4.145,-0.402903257
4.15,-0.026682702
4.155,-0.102520799
4.16,-0.281541744
4.165,0.074107725
4.17,0.008293568
4.175,-0.040141465
4.18,0.168310635
4.185,-0.304803147
4.19,0.159778785
4.195,-0.201397162
4.2,-0.135208333
4.205,0.011506021
4.21,-0.095607363
4.215,0.1070085
